Value Date,Amount,Reference,Description
2026-08-01,3377.42,INV-1000,Payment INV-1000
2026-08-05,1602.01,INV-1001,Payment INV-1001
2026-08-18,3545.15,INV-1002,Payment INV-1002
2026-08-01,2398.65,INV-1003,Payment INV-1003
2026-08-20,1546.97,INV-1004,Payment INV-1004
2026-08-21,1394.77,INV-1005,Payment INV-1005
2026-08-15,2387.84,INV-1006,Payment INV-1006
2026-08-01,4142.44,INV-1007,Payment INV-1007
2026-08-14,1218.47,INV-1008,Payment INV-1008
2026-08-25,1199.66,INV-1009,Payment INV-1009
2026-08-04,917.36,INV-1010,Payment INV-1010
2026-08-09,2047.8,INV-1011,Payment INV-1011
2026-08-18,3783.79,INV-1012,Payment INV-1012
2026-08-03,4650.33,INV-1013,Payment INV-1013
2026-08-20,4232.32,INV-1014,Payment INV-1014
2026-08-23,3098.08,INV-1015,Payment INV-1015
2026-08-25,3475.68,INV-1016,Payment INV-1016
2026-08-08,859.06,INV-1017,Payment INV-1017
2026-08-21,1750.88,INV-1018,Payment INV-1018
2026-08-12,1231.94,INV-1019,Payment INV-1019
2026-08-22,1701.4,INV-1020,Payment INV-1020
2026-08-06,3241.09,INV-1021,Payment INV-1021
2026-08-15,1601.65,INV-1022,Payment INV-1022
2026-08-21,4952.86,INV-1023,Payment INV-1023
2026-08-11,1488.27,INV-1024,Payment INV-1024
2026-08-08,3992.0,INV-1025,Payment INV-1025
2026-08-13,4122.71,INV-1026,Payment INV-1026
2026-08-19,1449.42,INV-1027,Payment INV-1027
2026-08-16,1456.82,INV-1028,Payment INV-1028
2026-08-15,4615.46,INV-1029,Payment INV-1029
2026-08-24,1128.34,INV-1030,Payment INV-1030
2026-08-19,1682.34,INV-1031,Payment INV-1031
2026-08-12,3125.9,INV-1032,Payment INV-1032
2026-08-17,4988.92,INV-1033,Payment INV-1033
2026-08-28,3901.02,INV-1034,Payment INV-1034
2026-08-26,3323.51,INV-1035,Payment INV-1035
2026-08-13,3183.84,INV-1036,Payment INV-1036
2026-08-17,4982.55,INV-1037,Payment INV-1037
2026-08-01,2989.52,INV-1038,Payment INV-1038
2026-08-18,1015.48,INV-1039,Payment INV-1039
2026-08-01,3377.42,INV-1000,Payment INV-1000
