Company Code,GL Account,GL Account Name,Cost Center,Fiscal Period,Posting Date,Document Number,Assignment,Debit/Credit,Amount (LC),Currency
1000,160000,Bank - Operating Account,CC-10,2026-07,2026-07-03,5100002341,CUST-INV-8812,D,145000.0,USD
1000,160000,Bank - Operating Account,CC-10,2026-07,2026-07-05,5100002355,CUST-INV-8830,D,98750.5,USD
1000,160001,Bank - Payroll Account,CC-20,2026-07,2026-07-15,5100002402,PAYROLL-JUL,C,82400.0,USD
1000,160000,Bank - Operating Account,CC-10,2026-07,2026-07-18,5100002417,SUPP-PMT-2210,C,62300.25,USD
1000,160000,Bank - Operating Account,CC-10,2026-07,2026-07-22,5100002433,SUPP-PMT-2214,C,18750.0,USD
1000,215000,VAT Payable,CC-10,2026-07,2026-07-25,5100002451,TAX-PMT-Q2,C,21480.0,USD
1000,160002,Bank - Savings Deposit,CC-10,2026-07,2026-07-31,5100002460,DEP-TRANSFER,D,30000.0,USD
1000,160000,Bank - Operating Account,CC-10,2026-08,2026-08-02,5100002510,CUST-INV-8901,D,132400.75,USD
1000,160000,Bank - Operating Account,CC-10,2026-08,2026-08-06,5100002522,CUST-INV-8915,D,87120.0,USD
1000,160000,Bank - Operating Account,CC-10,2026-08,2026-08-08,5100002530,CUST-INV-8920,C,15600.0,USD
1000,160001,Bank - Payroll Account,CC-20,2026-08,2026-08-15,5100002561,PAYROLL-AUG,C,84100.0,USD
1000,160000,Bank - Operating Account,CC-10,2026-08,2026-08-18,5100002578,SUPP-PMT-2240,C,58450.8,USD
1000,160000,Bank - Operating Account,CC-10,2026-08,2026-08-20,5100002585,SUPP-PMT-2243,C,21980.4,USD
1000,200500,Interest Expense,CC-30,2026-08,2026-08-21,5100002590,LOAN-INT-AUG,C,6420.0,USD
1000,160000,Bank - Operating Account,CC-10,2026-08,2026-08-24,5100002601,LOAN-PRIN-AUG,C,15000.0,USD
1000,160002,Bank - Savings Deposit,CC-10,2026-08,2026-08-27,5100002612,DEP-TRANSFER,D,25000.0,USD
1000,180000,Computer Equipment,CC-30,2026-08,2026-08-27,5100002620,CAPEX-SRV-01,C,42800.0,USD
1000,160000,Bank - Operating Account,CC-10,2026-08,2026-08-29,5100002630,TAX-PMT-AUG,C,19750.0,USD
1000,160000,Bank - Operating Account,CC-10,2026-08,2026-08-30,5100002641,CUST-INV-8944,D,110300.2,USD
1000,160000,Bank - Operating Account,CC-10,2026-08,2026-08-31,5100002650,SUPP-PMT-2251,C,30210.0,USD
