Posting Date,Amount in LC,Assignment,Document Number
2026-08-01,3377.42,INV-1000,DOC-1
2026-08-05,1602.01,INV-1001,DOC-2
2026-08-18,3545.15,INV-1002,DOC-3
2026-08-01,2398.65,INV-1003,DOC-4
2026-08-20,1546.97,INV-1004,DOC-5
2026-08-21,1394.77,INV-1005,DOC-6
2026-08-15,2387.84,INV-1006,DOC-7
2026-08-01,4142.44,INV-1007,DOC-8
2026-08-14,1218.47,INV-1008,DOC-9
2026-08-25,1199.66,INV-1009,DOC-10
2026-08-04,917.36,INV-1010,DOC-11
2026-08-09,2047.8,INV-1011,DOC-12
2026-08-18,3783.79,INV-1012,DOC-13
2026-08-03,4650.33,INV-1013,DOC-14
2026-08-20,4232.07,INV-1014,DOC-15
2026-08-23,3098.08,INV-1015,DOC-16
2026-08-25,3475.68,INV-1016,DOC-17
2026-08-08,859.56,INV-1017,DOC-18
2026-08-21,1750.88,INV-1018,DOC-19
2026-08-12,1231.94,INV-1019,DOC-20
2026-08-22,1701.4,INV-1020,DOC-21
2026-08-06,3241.09,INV-1021,DOC-22
2026-08-15,1601.65,INV-1022,DOC-23
2026-08-21,4952.86,INV-1023,DOC-24
2026-08-11,1488.27,INV-1024,DOC-25
2026-08-08,3992.0,INV-1025,DOC-26
2026-08-13,4122.71,INV-1026,DOC-27
2026-08-19,1449.17,INV-1027,DOC-28
2026-08-16,1456.82,INV-1028,DOC-29
2026-08-15,4615.46,INV-1029,DOC-30
2026-08-24,1128.34,INV-1030,DOC-31
2026-08-19,1682.34,INV-1031,DOC-32
2026-08-12,3125.9,INV-1032,DOC-33
2026-08-17,4988.92,INV-1033,DOC-34
2026-08-28,3901.02,INV-1034,DOC-35
2026-08-26,3323.51,INV-1035,DOC-36
2026-08-13,3183.84,INV-1036,DOC-37
2026-08-17,4982.55,INV-1037,DOC-38
2026-08-01,2989.52,INV-1038,DOC-39
2026-08-18,1015.48,INV-1039,DOC-40
