Company Code,GL Account,Cost Center,Fiscal Period,Amount
1000,400000,CC-10,2026-08,69687.34
1000,400000,CC-20,2026-08,38957.04
1000,400000,CC-30,2026-08,22056.86
1000,410000,CC-10,2026-08,70584.93
1000,410000,CC-20,2026-08,70368.45
1000,410000,CC-30,2026-08,28562.18
1000,500000,CC-10,2026-08,67103.87
1000,500000,CC-20,2026-08,45513.9
1000,500000,CC-30,2026-08,85886.53
1000,510000,CC-10,2026-08,48235.17
1000,510000,CC-20,2026-08,87343.35
1000,510000,CC-30,2026-08,32130.25
1000,520000,CC-10,2026-08,75278.35
1000,520000,CC-20,2026-08,53290.54
1000,520000,CC-30,2026-08,6166.04
1000,530000,CC-10,2026-08,66145.96
1000,530000,CC-20,2026-08,88176.48
1000,530000,CC-30,2026-08,64501.42
