Company Code,GL Account,Cost Center,Fiscal Period,Budget Amount
1000,400000,CC-10,2026-08,66115.92
1000,400000,CC-20,2026-08,37610.01
1000,400000,CC-30,2026-08,20194.72
1000,410000,CC-10,2026-08,63180.84
1000,410000,CC-20,2026-08,65717.73
1000,410000,CC-30,2026-08,26384.65
1000,500000,CC-10,2026-08,70500.16
1000,500000,CC-20,2026-08,42434.83
1000,500000,CC-30,2026-08,75346.04
1000,510000,CC-10,2026-08,49316.34
1000,510000,CC-20,2026-08,79119.28
1000,510000,CC-30,2026-08,34452.3
1000,520000,CC-10,2026-08,63914.46
1000,520000,CC-20,2026-08,51962.37
1000,520000,CC-30,2026-08,0.0
1000,530000,CC-10,2026-08,56395.64
1000,530000,CC-20,2026-08,65315.91
1000,530000,CC-30,2026-08,62776.94
